SI number,Product,Campaign Owner,Platform,Date,Campaign Name,Target Audience,Sent,Engaged (Notification Viewed),Rate,Status,Business Impact
1,Shopkeepers Policy,Shriya ,CT (Mitra),"Nov 30, 10:40 AM",VR:Shopkeeper_Policy,,"28,974",4,0.01,Completed,
2,FinoPay,Shriya ,CT (Mitra),"Nov 23, 2:00 PM",AB1:Upi _Txn,,"2,441,265",121,0%,Completed,
3,Become a Merchant,Shriya ,CT (Mitra),"Nov 21, 6:00 PM",AB1:Become_a_Merchant_No_Cif_Have_Token,,"1,244,607","1,017",0.08,Completed,
4,Shopkeepers Policy,Shriya ,CT (Mitra),"Nov 21, 12:37 PM",VR:Shopkeeper_Policy,,"28,836",16,0.06,Completed,
5,Suvidha Account,Shriya ,CT (Mitra),"Nov 21, 12:00 AM",HM:suvidha_Merchant_notifcation__Nov'23 (21st to 30th alternate days,,"302,571",154,0.05,Awaiting Next Run,
6,Pradhan Mantri Jeevan Jyoti Bima Yojana,Shriya ,CT (Mitra),"Nov 20, 1:09 PM",VR:PMJJBY,,"576,933",312,0.05,Completed,
7,Go Digit Health,Shriya ,CT (Mitra),"Nov 20, 10:52 AM",VR:GoDigit Health,,"28,845",5,0.02,Completed,
8,FinoPay,Ajay,CT (Mitra),"Nov 17, 2:00 PM",Revision_in_UPI_Transaction_Limit_40K,,"804,129","1,176",0.15,Completed,
9,Suvidha Account,Shriya ,CT (Mitra),"Nov 15, 12:00 AM",HM:suvidha_Merchant_notifcation__Nov'23 (15th to 20 Nov onces in a day),,"303,917",164,0.05,Completed,
10,Kisaan Samman Nidhi Yojana ,Ajay,CT (Mitra),"Nov 14, 8:00 PM",kisan_samman_nidhi_yojana_push_notification,,"600,168",10,0%,Completed,
11,Suvidha Account,Ajay,CT (Mitra),"Nov 6, 2:00 PM",HM:suvidha_Merchant_notifcation__Nov'23 (6th to 15 Nov Daily),,"50,660",69,0.14,Completed,
