Product,Date,Campaign Name,Target Audience,Message,Creative,Total Request,Sent,Delivered,Read,Failed
FinoPay,16th Nov,Vkyc,Vkyc Pending Customers,,,16568,16568,11239,8674,2599
FinoPay,22nd Nov,Vkyc,Vkyc Pending Customers,,,28065,28065,21057,14866,3080
Bhavishya Account,23rd Nov,Bhavishya*Braingym,Newly Onboarded Customers,,,36334,36334,22668,18809,9562
Bhavishya Account,23rd Nov,Bhavishya*Braingym,Renewal Pending Customers,,,24970,24970,14214,11001,8175
FinoPay,20th Nov,ReKyc through Vkyc,ReKyc Pending Customers,,,82931,82926,26158,18732,50138
DMT,1st Nov - 28th Nov,DMT Slabs,Distributors (According to Slabs),,,,,,,
International Remittance,1st Nov - 28th Nov,Ria Money,Customers and Merchants,,,,,,,
Kisan Samman Nidhi Yojana,14th Nov,Kisan Samman Nidhi Yojana,MATM AEPS Transaction Merchants,,,200354,200347,168638,136585,23468
FinoPay,10th Nov,Digital Gold,FinoPay Active Customers,,,77053,77053,61696,50209,8236
FinoPay,15th Nov,Merchant Refer & Earn,CASA Customers (opened CASA through merchant point),,,52782,52782,42225,30723,7783
CAM ,9th Nov,CAM Hindi,Freelance Employees (Tagged as Merchants)- MP,,,792,792,628,471,119
CAM ,9th Nov,CAM Gujarati,Freelance Employees (Tagged as Merchants)- Gujarat,,,239,239,199,164,31
DMT,01-12-2023 16:19,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,181,152,70
DMT,01-12-2023 16:21,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,59,51,23
DMT,01-12-2023 16:22,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,64,57,23
FinoPay OTT,02-12-2023 14:49,finopay_eng,CASA Dump,"*Now Open and Fund your FinoPay Savings Account to watch your favourite web series.🔥✨*

1. Get 18 OTTplay channels subscription worth ₹ 1532/- for a month in just *₹ 1/-*. 
2. Cash-back of ₹ 50/- on your 1st Bill Payment and UPI transaction using FinoPay. 
*For detailed T&C, visit our website.

- Fino Payments Bank",,116647,116647,69595,60859,36832
DMT,04-12-2023 16:59,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,182,150,70
DMT,04-12-2023 17:00,dmt_1_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,59,50,23
DMT,04-12-2023 17:02,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,64,57,23
