"authorFollowersCount","authorFullName","authorProfileId","authorProfileUrl","authorType","commentsCount","image","isRepost","likesCount","postedAtISO","postedAtTimestamp","text","timeSincePosted","title","url","urn"
"589K","AU SMALL FINANCE BANK","aubank","https://www.linkedin.com/company/aubank/","Company","0",,"false","94","2024-02-02T10:32:46.615Z","1706869966615","Dive into the #KeyHighlights of the Union Budget 2024 for a glimpse into the economic roadmap ahead.
 
#Budget2024 #InterimUnionBudget #Finance #AUSmallFinanceBank","1mo","Union Budget 2024 Highlights","https://www.linkedin.com/feed/update/urn:li:activity:7159131528453668866?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7159131528453668866%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7159131528453668866"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","7",,"false","129","2023-03-21T04:45:12.473Z","1679373912473","Let the worries of your banking data getting leaked be a thing of the past with our all new mobile app.

To know more, visit bit.ly/3JvEQWb

#JanaSmallFinanceBank #JanaApp #MobileBanking #InternetBanking","1yr","The all new Jana Small Finance Bank Mobile App","https://www.linkedin.com/feed/update/urn:li:activity:7043804718581596160?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7043804718581596160%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7043804718581596160"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","3","https://media.licdn.com/dms/image/sync/D4D27AQGO4rwqV75JCA/articleshare-shrink_800/0/1709214627629?e=1710093600&v=beta&t=ovQjNkhVI-Q1ypgdyrZ5QEWt2CeebbeOU7SyfLLIn20","false","17","2023-04-18T08:39:07.426Z","1681807147426","The future of debit card payments is here! It's time to get your India Post Payments Bank Virtual Debit Card just by following these quick steps and unlock an array of benefits like never before . To generate it, download and log in to your IPPB Mobile Banking App right away.
https://lnkd.in/dM2KqVrr

#Aapkabankaapkedwaar #Bankingatlastmile
India Post Department of Posts, India Indian Banks`​ Association Venkatram Jayanthy Gursharan Rai Bansal Easwaran V Vishwanath Divya","11mo","Virtual Debit Card","https://www.linkedin.com/feed/update/urn:li:activity:7054010445677965312?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7054010445677965312%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7054010445677965312"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","8","https://media.licdn.com/dms/image/sync/D5627AQGgxGv5LV0_vQ/articleshare-shrink_800/0/1708527735969?e=1710093600&v=beta&t=--65XdkY76M93UzleS6flbynhJk_sZfWiH_QXqxlwLI","false","634","2023-06-29T12:20:40.422Z","1688041240422","Jana Small Finance Bank closes its largest ever fund-raise of INR 560 cr., thereby also significantly bettering its capital adequacy ratio.

The Economic Times 

Ajay Kanwal 
Shrinivas Murty
Ashish Gopal Saxena 
Buvanesh Tharashankar 
Usha Sonavaria 
Chitra Menon 
Sumit Aggarwal 
Rajesh Rao M 
Gopal Tripathi 
Pradeep Rebello 
Rincoo Vachha
Sudhir Madhavan 
Satish Ramachandran","8mo","Ramesh Damani, Ashish Kacholia & others invest Rs 560 cr in Jana Bank","https://www.linkedin.com/feed/update/urn:li:activity:7080158126867456000?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7080158126867456000%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7080158126867456000"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","4","https://media.licdn.com/dms/image/D4D22AQEq2tSSFZXiCw/feedshare-shrink_2048_1536/0/1688800414208?e=1712188800&v=beta&t=KbbK_uWumcpu_VSMr5A399iSDyjr9o9jMbJZ5WiGSAk","false","45","2023-07-08T07:13:36.645Z","1688800416645","Hon'ble Union Minister Shri Devusinh Chauhan graced the pilot launch of Antyodaya Shramik Suraksha Yojana today. Hon'ble Minister emphasised the importance of insurance for our hardworking Shramyogis, the backbone of our nation and quoted, ""Antyodaya clearly means rise of the one at the last mile"". 

#AntyodayaShramikSurakshaYojana #Aapkabankaapkedwaar 
#Bankingatlastmile","8mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7083342342736293888?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7083342342736293888%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7083342342736293888"
"589K","AU SMALL FINANCE BANK","aubank","https://www.linkedin.com/company/aubank/","Company","0","https://media.licdn.com/dms/image/D4D12AQFuC1qVkrzONw/article-cover_image-shrink_600_2000/0/1691214139126?e=1715212800&v=beta&t=FyhQqix4HFSNAGEf7xvO15SiVR8R2lMdVQzOTnz4AsM","true","98","2023-08-05T06:43:28.384Z","1691217808384","Dive into the dynamics of teamwork with Mr. Saurabh Tambi, Executive Vice President Marketing - Commercial Banking. In his insightful article, Mr. Tambi explores the transformative power of collaboration that turns everyday endeavors into remarkable achievements.","7mo","Synergy: Triumph through Collaborative Mastery","https://www.linkedin.com/feed/update/urn:li:activity:7093481618576748544?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7093481618576748544%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7093481618576748544"
"105K","Fino Payments Bank Ltd","finopaymentsbank","https://www.linkedin.com/company/finopaymentsbank/","Company","1","https://media.licdn.com/dms/image/D5622AQFyu4jIPXqJMw/feedshare-shrink_2048_1536/0/1706768731990?e=1712188800&v=beta&t=anClJ5Cj5zwHFGqreD2g8maUJ7ZUUS6UJkVboLqU-cI","false","73","2024-02-04T02:30:02.001Z","1707013802001","Cancer awareness is the first step to cure. Let us be aware of various types of cancers and look out for early signs to keep ourselves and our loved ones away from the deadly disease.

#FinoPaymentsBank #FikarNot #FinoBanker #DigitalBanking #SecureBanking #HarDinFino #FinoPay #WorldCancerDay #CancerAwareness #TakeControlOfYourLife ","1mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7159734817788416001?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7159734817788416001%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7159734817788416001"
"121K","Suryoday Small Finance Bank Ltd","suryodaysmallfinancebankltd","https://www.linkedin.com/company/suryodaysmallfinancebankltd/","Company","3",,"false","113","2023-05-26T13:02:37.952Z","1685106157952","Too many questions in your mind? We share with you summary of recent guidelines on ₹2,000 denomination banknotes. Check it out!

#2000rsnote #RBI #bankofsmiles #suryodaybank","10mo","₹ 2000 Notes Guidelines","https://www.linkedin.com/feed/update/urn:li:activity:7067847498723188736?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7067847498723188736%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7067847498723188736"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","1","https://media.licdn.com/dms/image/C4D22AQHs5BW8n-Uaww/feedshare-shrink_2048_1536/0/1679477565839?e=1712188800&v=beta&t=_J9x-vIdfHcdab_XV6BluONEnrZw3PPfcrxaJ4tOoMs","false","17","2023-03-22T09:32:46.358Z","1679477566358","Make everything possible with your savings account. Open your India Post Payments Bank Account today & enjoy an array of services. For more details, visit your nearest post office right away. 

Place your service request at -
https://lnkd.in/dRvu4uqw
#Aapkabankaapkedwaar #Bankingatlastmile  ","1yr",,"https://www.linkedin.com/feed/update/urn:li:activity:7044239474486095873?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7044239474486095873%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7044239474486095873"
"105K","Fino Payments Bank Ltd","finopaymentsbank","https://www.linkedin.com/company/finopaymentsbank/","Company","1","https://media.licdn.com/dms/image/sync/D4D27AQGP450Yxxa8dg/articleshare-shrink_800/0/1708540493351?e=1710093600&v=beta&t=bsTAMUZc5PoZkxmLCpdYXVB_RAsgOoI0yfn2qKtn4_A","false","48","2023-05-03T07:21:01.021Z","1683098461021","Watch this video as Rishi Gupta, MD & CEO, Fino Payments Bank, interacts with CNBC-TV18 after a fruitful Q4'23.
Ashish Ahuja, Anand Bhatia, Ketan Merchant, Shailesh Pandey, Anup Agarwal
#FikarNot #DigitalBanking #SecureBanking #HarDinFino
","10mo","CNBC-TV18 on Twitter","https://www.linkedin.com/feed/update/urn:li:activity:7059426607454633984?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7059426607454633984%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7059426607454633984"
