Date,Source,Screenname,Display Name,Sentiment,Content,Created Date/Time,Case Closed Date/Time,Link,Gender,City,State,Country,Retweet Count,Favorite Count,Followers Count,Location,Comments,Likes,Views,Shares,Dislikes,Verified Account,Post Type,Sub-Source,Ratings,Case Status,Case Assigned To,Case ID,Forums Response Comment,Forums Response By,Forums Response Time,Business Location,App Version,Device Name,Os Version,Language,Others,Category,SubCategory,PostType,Rating,General,Note1,Note2,Note3
2024-03-31,Twitter.com,Twitter user,Twitter user,Neutral,DBSBankIndia Hello  I want to open current Account in your bank so can you suggest me about current Account plans,2024-03-31 22:44:10,,https://twitter.com/Twitter User/status/1774485349898854905,Male,,,,0,0,,,,,,,,,Tweet,,,,,,,,,,,,,[], , , , , , ,,,
,Instagram,,,Neutral,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,linkedin,,,Neutral,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,Congratulations Desh ki Betiya hi Pariwar Samaj Va Desh ka Naam Roshan karegi Beti Padhawo Beti Bachawo Va Rastra Nirman Me Sahayoga Kare Ram Ram Sa Thanks,2024-03-31 21:45:32,,https://www.facebook.com/430005779526496/posts/432975312562876?comment_id=403506955757541,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_432975312562876, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,https://refer9.com/m/k66lhr,2024-03-31 21:34:17,,https://www.facebook.com/430005779526496/posts/435342095659531?comment_id=996633975158515,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_435342095659531, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Positive,Nice display,2024-03-31 21:31:07,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=959858129006350,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,👍,2024-03-31 21:07:31,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=310828508425759,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,https://refer9.com/gold/nr9kc4,2024-03-31 20:55:09,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=381512478186080,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,https://refer9.com/gold/nr9kc4,2024-03-31 20:55:07,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=380893741518429,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,https://refer9.com/m/w7mv9d,2024-03-31 20:34:17,,https://www.facebook.com/430005779526496/posts/432431665950574?comment_id=736333385311372,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_432431665950574, , , , , , ,,,
2024-03-31,Twitter.com,Twitter user,Twitter user,Neutral,DBSBankIndia I'm not your customer yet received this kind of sms pls remove my number from your records https://t.co/zYckcY4BFT,2024-03-31 20:31:18,,https://twitter.com/Twitter User/status/1774451914975199519,Male,,,,0,0,,,,,,,,,Tweet,,,,,,,,,,,,,[], , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,#mAstapp,2024-03-31 20:26:56,,https://www.facebook.com/430005779526496/posts/435342095659531?comment_id=1698885867307952,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_435342095659531, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,,2024-03-31 20:23:58,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=1054538005605653,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,"New link 2024 mein new dhamaka download karke dekho

👇👇👇👇👇👇
https://scene.agent61.com/promotion/m/slm_1900044/u/101120743/s/s1/psfvh3?channel=slm_1900014&lang=en&scene=s1&uid=101120743
भाई वैसे तो आपको बहुत सारे app मिल जाएंगे तीन 
 पत्ती,&#8203; अंदर बाहर,&#8203; ड्रैगन टाइगर खेलने के लिए,&#8203; लेकिन मैं एक ही बात कहूँगा वे app froud होते हैं। मैं इस app पर अंदर बाहर,&#8203; ड्रैगन टाइगर  एक्सप्लोर speen खेलता हूँ और अब तक लाखों  रुपया जीत चुका हूं इसे आप भी डाउनलोड करें और खेले कोई दिक्कत नहीं है। अगर यकीन नहीं है तो देखें प्रूफ आपके सामने है
 
इस गेम में वित्तीय जोखिम शामिल है और इसकी आदत लग सकती है | कृपया अपनी जिम्मेदारी और अपने जोखिम पर खेलें 🔥🔥New Best Earning APP Today🔥
👇👇👇👇👇👇
https://scene.agent61.com/promotion/m/slm_1900044/u/101120743/s/s1/psfvh3?channel=slm_1900014&lang=en&scene=s1&uid=101120743",2024-03-31 20:23:40,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=1205872960770492,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,Gjjjb,2024-03-31 19:54:52,,https://www.facebook.com/430005779526496/posts/432975312562876?comment_id=1802215936971490,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_432975312562876, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,,2024-03-31 19:29:34,,https://www.facebook.com/430005779526496/posts/435342095659531?comment_id=770467985042444,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_435342095659531, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Neutral,"సంత్ గరీబ్ దాస్ జీ మహారాజ్ బోధ దినోత్సవం  సందర్భంగా భక్తులు రక్తదానం చేశారు.
సంత్ రాంపాల్ జీ మహారాజ్ ప్రత్యేకమైన సంక్షేమ అలోచనలు కలిగిన నిజమైన సమాజ సంస్కర్త సంత్ ఉన్నారు.",2024-03-31 19:13:23,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=330273486310859,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
2024-03-31,Facebook.com,FB User,FB User,Positive,"बहुत बढ़िया गेम 
प्रतिदिन 7 लाख तक जीत सकते है 
100% निष्पक्ष और सुरक्षित कैश गेम!
Install करे और ₹ 10 का बोनस पाएँ

https://nmxep.com/gold/lyf107
👆👆👆
डाउनलोड करने के लिए ऊपर दिए गए लिंक को क्लिक करें",2024-03-31 18:40:09,,https://www.facebook.com/430005779526496/posts/434164655777275?comment_id=825579816077189,,,,,,,,,0,0,,0,,,Comment,,,,,,,,,,,,,199904420133416_434164655777275, , , , , , ,,,
