Brand,Date,Source,Screenname,Display Name,Sentiment,Content,Created Date/Time,Closed Date/Time,Link,Gender,City,State,Country,Retweet Count,Favorite Count,Followers Count,Location,Comments,Likes,Shares,Verified Account,Post Type,Agent Ticket ID,Email Ticket ID,Email Ticket Assigned To,Email Ticket Status,Sub-Source,Ratings,Note1,Note2,Note3,Forums Response Comment,Forums Response By,Forums Response Time,Business Location,App Version,Device Name,Os Version,Others,Category,SubCategory,PostType,Rating,General
India Posts Payments Bank,2024-03-31,Twitter.com,MadgulkarPratap,Pratap Madgulkar,Neutral,"@IndiaPostOffice - why OTP expires in 30 sec ? What’s the logic ? 
Testing of app not done on iPhone 15 

If I click to enter Otp then keypad not coming on my iPhone 15 pro - check the bug 
@IPPBOnline https://t.co/Y0VAHnoDQ2",2024-03-31 22:04:09,,https://twitter.com/MadgulkarPratap/status/1774475280012501239,Male,,,,0,0,17,India,0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
,,Instagram,,,Neutral,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,linkedin,,,Neutral,ook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,SachinD38178859,Sachin Dubey,Neutral,@IPPBOnline  शर्म करो शर्म करो...,2024-03-31 21:13:20,,https://twitter.com/SachinD38178859/status/1774462489897664551,Male,,,,0,0,18,"Gurgaon, india",0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,SachinD38178859,Sachin Dubey,Negative,"@IPPBOnline 
भारत जहां प्रगति कर रहा है, वहा इंडियन पोस्ट ऑफिस बैंक जैसी संस्था देश के लिए असक्षम, आलसी, ह_रा_म की तरह सैलरी लेने वाली संस्था है, जो अधिकारी काम कर रहें है वो अपने बच्चो को क्या बताते होंगे वो आखिर बिना काम के सैलरी कैसे लेते है..
शर्म करो और बंद कर दो IPPB..!!",2024-03-31 21:08:18,,https://twitter.com/SachinD38178859/status/1774461224992100736,Male,,,,0,0,18,"Gurgaon, india",0,0,0,,Retweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,SachinD38178859,Sachin Dubey,Negative,"@IPPBOnline 
भारत जहां प्रगति कर रहा है, वहा इंडियन पोस्ट ऑफिस बैंक जैसी संस्था देश के लिए असक्षम, आलसी, ह_रा_म की तरह सैलरी लेने वाली संस्था है, जो अधिकारी काम कर रहें है वो अपने बच्चो को क्या बताते होंगे वो आखिर बिना काम के सैलरी कैसे लेते है..
शर्म करो और बंद कर दो IPPB..!!",2024-03-31 20:43:18,,https://twitter.com/SachinD38178859/status/1774454933515026806,Male,,,,0,0,18,"Gurgaon, india",0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,ROHIT_BABU_1,ROHIT BABU,Neutral,India post payment Bank mei ₹220 rupya  bhej diya tha aur Humko message Bhi Aaya per account mein show nahi kar raha hai Customer care se baat kiye Kafi badtamiji se baat Kiya 😡😡 @IPPBOnline https://t.co/Koug5AXCwR,2024-03-31 20:15:17,,https://twitter.com/ROHIT_BABU_1/status/1774447883636580581,Male,,,,0,0,28,"Bihar, india",0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,salahuddin03700,Salahuddin,Negative,@IPPBOnline @ICICIBank Our issue not solve after 5 months,2024-03-31 18:11:25,,https://twitter.com/salahuddin03700/status/1774416709019185304,Male,,,,0,0,4,India,0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,JAGGU11,Jagadish S Chikkanargund,Neutral,"Celebrating new beginnings! May the festive spirit of Easter guide you towards a righteous path, sparking faith, bring peace, happiness and a cascade blessings, promising renewal in abundance.  #Happyeaster🐰 https://t.co/uLs1Ic4jU4",2024-03-31 17:55:18,,https://twitter.com/JAGGU11/status/1774412653622087972,Male,,,,0,0,149,"Haveri, india",0,0,0,,Retweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,DileepK52501023,Dileep Kumar Maurya,Negative,@ashok0chaudhary @IPPBOnline @IndiaPostOffice @rai_gursharan @Vish_Div Very bad service for in your service experience ippb last 5years personal experience,2024-03-31 17:15:19,,https://twitter.com/DileepK52501023/status/1774402593772757364,Male,,,,0,0,33,Lucknow uttar pradesh,0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,puja_Toks,Pooja Tokas,Neutral,"Dear @IndiaPostOffice ये क्या लगा रखा है
28 के बाद कोई अपडेट नहीं दिखा रहा है
कृपया मेरी समस्या का समाधान करें! और प्रोडेक्ट को जल्दी से जल्दी डिलीवरड करें @timesofindia @PMOIndia @IPPBOnline @IndiaPostOffice #indiapost https://t.co/oK8IAMF9Vu",2024-03-31 16:20:02,,https://twitter.com/puja_Toks/status/1774388678103871648,Female,,,,0,0,39,,0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
India Posts Payments Bank,2024-03-31,Twitter.com,i_m_akshitshri,Akshit Raj Shrivastava,Neutral,@IPPBOnline You have mentioned that doorstep delivery will be there for mobile update in aadhar but your call agent denies on that . @IndiaPostOffice @AshwiniVaishnaw https://t.co/4MZ56C3uHl,2024-03-31 16:11:37,,https://twitter.com/i_m_akshitshri/status/1774386561578307823,Male,,,,0,0,2,,0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
