Brand,Date,Source,Screenname,Display Name,Sentiment,Content,Created Date/Time,Closed Date/Time,Link,Gender,City,State,Country,Retweet Count,Favorite Count,Followers Count,Location,Comments,Likes,Shares,Verified Account,Post Type,Agent Ticket ID,Email Ticket ID,Email Ticket Assigned To,Email Ticket Status,Sub-Source,Ratings,Note1,Note2,Note3,Forums Response Comment,Forums Response By,Forums Response Time,Business Location,App Version,Device Name,Os Version,Others,Category,SubCategory,PostType,Rating,General
Spice Money,2024-03-31,youtube.com,@manipurkangleipak,@manipurkangleipak,Neutral,"I had already completed my IIBF BC Certificate Exam and the same has been uploaded to the spice money portal. Still it shows under review, how long will it take to verify???",2024-03-31 22:00:44,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=Ugy-GttHERH3jFBOrnl4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@gangakumar4607,@gangakumar4607,Positive,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤...,2024-03-31 20:56:37,,https://www.youtube.com/watch?v=ThXQf6FaaYw&lc=Ugy9UxN623_d4lmaKIh4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@dalisahu1510,@dalisahu1510,Neutral,ट्रेनिंग कब शुरू होगा जानकारी कैसे मिलेगी,2024-03-31 19:30:51,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=UgypuAFXU8OXxMoSZ1F4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,Call karke bataye sir 9414927544,2024-03-31 17:56:23,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=1123075782374619,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
,,linkedin,,,Neutral,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Instagram,,,Neutral,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir, Namaskar! Retailor ID free of cost hai, adhik jankari ke liye aap hamare official customer care 0120-3645622 par sampark karein. Regards, Team Spice Money",2024-03-31 17:11:24,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=803191058376669&reply_comment_id=1532542400650452,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,youtube.com,@SpiceMoneyOfficial,@SpiceMoneyOfficial,Neutral,"प्रिय महोदय, नमस्कार! आपसे अनुरोध है कि कृपया अपना मोबाइल नंबर और ईमेल आईडी हमें साझा करें, हमारी ग्राहक सेवा टीम आपसे जल्द ही संपर्क करेगी। आप हमारे आधिकारिक ग्राहक सेवा नंबर 0120-3645645 पर भी संपर्क कर सकते हैं। सादर, टीम स्पाइस मनी",2024-03-31 17:10:18,,https://www.youtube.com/watch?v=7pMfSyYFp5U&lc=Ugxu49Y7HIqMkMDXpJd4AaABAg.A1dgXef2tzwA1dr1kvEuNf,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,SPICE MONEY,SPICE MONEY,Neutral,"Dear Sir,Greetings ! Aapko batana chahenge ki aapka concern  hamari team ki taraf se aage forword kiya gaya hai ,aapko sales team ki taraf se contact kiya jayega. Regards Team Spice Money",2024-03-31 17:08:45,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=725862016284707&reply_comment_id=381956111426221,Male,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
Spice Money,2024-03-31,Facebook.com,FB User,FB User,Neutral,I'd kitne m banga,2024-03-31 16:54:13,,https://www.facebook.com/634639855377280/posts/818154200359177?comment_id=803191058376669,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
